id;descricao;quem_id;talentoclasse_id;regiao_id;experiencia
60;Aula de gastronomia latinoamericana;1316;1;38;Trabalhei em diversos países da América do Sul como cozinheira, desse modo aprendi a execução de vários pratos típicos.
62;Aula de reforço de História;1316;8;38;Sou historiadora
63;Monto roteiro de viagens personalizado para destinos na América do Sul;1316;40;38;Viajei por muitos lugares e adoro ajudar as pessoas em suas viagens
64;"- Revisão textual (ortográfica e gamatical) de textos em língua portuguesa e em inglês.
- Tradução: inglês-português-inglês.  
- Formatação de trabalhos acadêmicos, artigos e livros.";2654;40;55;"- Bacharela em Letras Inglês pela UFSC.
- Mestranda em Estudos da Tradução, UFSC.
- Mais de seis anos de experiência com revisão textual e tradução de textos de diversos gêneros literários."
65;"Feng shui
Sou arquiteta e ofereço consultoria e projetos de Feng Shui - técnica oriental de harmonização de ambientes que visa equilibrar o fluxo das energias, a fim de criar efeitos benéficos na nossa vida. Com pequenas mudanças em seu lar ou ambiente de trabalho você ajuda o universo a lhe proporcionar mais satisfação! Pode ser aplicado em ambientes já existentes e a projetar!";1407;39;55;Experiência em projetos e consultorias de Feng shui em projetos de interiores residencias, comerciais e corporativos. Além de espaços extenos. Também já ministrei palestras sobe o tema.
66;"Sou contadora de histórias.
Já ofereço o meu talento em eventos do Banco de Tempo, em especial, por exemplo, na Casa de Cultura do Rio Vermelho.";899;10;55;Conto histórias em eventos e festas infantis, desde 2013.
67;Conversação francês;2153;9;39;Não tenho experiência docente mas falo francês.
68;Fotografia: aniversários, círculos de mulheres, eventos ao ar livre, eventos sociais em geral. Ofereço conforme minha disponibilidade de agenda, estou estabelecendo o limite de quantos poderei atender por mês. Gratidão!;1782;11;56;Aniversário adulto e infantil, círculo de mulheres, festas ao ar livre
69;Fotografia: ensaios de gestante, casal, infantil, família. Ofereço conforme minha disponibilidade de agenda, maior disponibilidade durante os dias úteis. Estou estabelecendo o limite que poderei atender por mês. Gratidão!;1782;16;56;Curso de fotógrafo prlo Senac, ensaios  realizados com clientes
70;Análise numerológica. Mapa numerológico, ano pessoal e outros.;1921;31;3;Realizei o serviço diversas vezes pelo BTF.
71;Normatização ABNT para trabalhos acadêmicos (TCC, dissertação, tese, artigos);1921;9;3;Realizo o serviço há 8 anos. Site: www.contornospesquisa.org
72;Cultivo de mudas, de suculentas e algumas especies ornamentais. Floreiras para plantio de flores com madeira de demolição.  Terra feita com material orgânico e churume.;3706;7;55;Tenho um jardim onde me possibilita manusear as plantas que me preenchem meu dia, tenho a consciência do quanto o meio ambiente precisa ser cuidado com carinho e procuro passar isso pra família e com eles fazer uma roda de reaproveitar tudo o que podemos e procurar dar o  destino correto a todo o maretial que produzimos.
73;Crochê faço com muito amor e paciência, em panos de prato e toalhas de banho e rosto;3706;21;55;Aprendi sozinha pois só canhota e fica dificil alguem que consiga ensinar então pra mim é uma superação. Meu trabalho é com o ponto muito apertado então quase não rende demoro muito para fazer, mas não me encomodo com isso pois amo depois de pronto.
74;"1. Danças de Salão / danças de parceri@s (Forró, Samba, Zouk, Tango, Bolero, Contato improvisação - cas@is, dup@s, parceir@s, grupos); 
2. Consciência / pesquisa (atores, artistas, professores); 
3. Gestão Cultural (Projetos, produção, direção, execução); 
4. Coreógrafo (Casamentos, grupos, festas);";70;13;26;Bailarino e coprodutor da Grão Cia de Dança, professor de dança de Salão na Cenarium Escola de Dança de Fpolis SC, Bacharel em Educação Física (UDESC-SC), Pós graduado em Gestão Cultura (SENAC-SP), membro ativo do grupo de economia solidária Banco do tempo de Florianópolis, parceiro de dança de Maria Claudia Reginato, Microempreendedor individual na área de Produção e Gestão Cultural. Produtor Cultural do projeto “Miscelânea em Residência – Experimento em Multiarte e Economia Solidária”, 2017 – 2018 (Elisabete Anderle 2017) e do projeto “Grão Cia de Dança – Existência, difusão e manutenção da Cia”, 2017 - 2018 (Elisabete Anderle 2017), Diretor do projeto “Karma – Circulação SC” (Elisabete Anderle 2017) e “Karma” (Primavera Cultural Santa Catarina 2017). Produtor e professor do projeto “Dança de salão e seus diálogos contemporâneos (Primavera Cultural Santa Catarina 2017).
75;"Design de sobrancelha, 
Aplicação de henna nas sobrancelhas, depilação egípcia ( linha),
Corte de cabelo,
Hidratação,
Coloração,Make e penteados.";224;26;27;Formada no curso de cabeleireiro profissional no Senac e formação em depilação e sobrancelhas no instituto Embelleze.
76;"Consultoria Cultural (principalmente Dança, mas estendo às Artes-Cultura): 1. Projetos (feitura, avaliação, considerações); 2. Textos (Olhar, contribuir, analisar); 3. Editais (estratégias, possibilidades, mecânicas); 4. Gestão (produção, direção, planejamento);";70;39;26;Bailarino e coprodutor da Grão Cia de Dança, professor de dança de Salão na Cenarium Escola de Dança de Fpolis SC, Bacharel em Educação Física (UDESC-SC), Pós graduado em Gestão Cultura (SENAC-SP), membro ativo do grupo de economia solidária Banco do tempo de Florianópolis, parceiro de dança de Maria Claudia Reginato, Microempreendedor individual na área de Produção e Gestão Cultural. Produtor Cultural do projeto “Miscelânea em Residência – Experimento em Multiarte e Economia Solidária”, 2017 – 2018 (Elisabete Anderle 2017) e do projeto “Grão Cia de Dança – Existência, difusão e manutenção da Cia”, 2017 - 2018 (Elisabete Anderle 2017), Diretor do projeto “Karma – Circulação SC” (Elisabete Anderle 2017) e “Karma” (Primavera Cultural Santa Catarina 2017). Produtor e professor do projeto “Dança de salão e seus diálogos contemporâneos (Primavera Cultural Santa Catarina 2017).
77;Reiki;3283;31;1;Sou reikiana e faço aplicação de reiki para harmonização de chakras
78;Crochê;3283;21;1;Faço mandalas em crochê de representação dos chakras, colares e molduras
79;Nutrição Ayurvédica;1322;30;35;Nutricionista formada pela Universidade Federal de Santa Catarina e Terapeuta Ayurveda com formação na Escola Yoga Brahma Vidyalaya, no Brasil, e extensão em Nutrição Ayurvédica na International Academy of Ayurved, na Índia.
80;Posso ir até a sua casa e fazer uma comidinha especial pra vc. Como moro no sul da ilha ofereço esse talento por aqui ou região central.;1862;2;26;Sou formada em técnico gastronomia e ja trabalhei em restaurantes de alimentação saudável. Dou preferência pra alimentos sem origem animal.
81;Vou até vc e ajudo a organizar a casa e os armários. Sem limpeza pesada, apenas organização.;1862;6;26;Já fiz vários trabalhos como faxineira, mas como é um trabalho muito pesado, me ofereço pra ajudar na organização da casa e armários.
82;Me ofereço para cuidar do seu pet na sua ausência. Viagens, trabalhos etc.;1862;33;26;Já trabalhei como banhista em pet shop e cuidadora na casa do animalzinho. Tenho experiência e gosto muito de animais.
83;Prática de Kundalini Yoga - individual, casal, grupos. Facilitação da Lei do Tempo e Sincronário da Paz: Kin, Oráculo de Destino, Onda Encantada, Tzolkin, 13 tons, 20 selos, Synchronotron, diálogos sobre o Tempo - tempo Natural e tempo artificial.;4095;28;39;"Pratico Yoga há mais de 10 anos. Destes, 4 são na Kundalini Yoga. Formação para instrução de Kundalini Yoga em 2016. Participo no Projeto Yoga na Escola, que proporciona práticas de Yoga para crianças e adolescentes em Escolas Públicas de Florianópolis, estando ativa, com práticas semanais na Escola E.E.B. Porto do Rio Tavares, com turmas do primeiro ao quinto ano. Continuo praticando com meu professor e estou me especializando em Yoga para crianças.
Praticante da aplicação dos códigos do Tempo na Escola de Consciência Planetária, Velatropa - em Garopaba, desde 2013. Estudei no Centro de Estudos da Lei do Tempo em Canela, onde tive a oportunidade de participar ativamente, como tradutora dos coordenadores da Foundation for the Law of Time, para implantação do novo Centro de Estudos. Formação de Facilitadores da Lei do Tempo, com práticas avançadas, como Synchronotron."
85;"OFEREÇO: 
1) Atendimentos com Terapias Holisticas:
* Sintonia de Florais (Sistema de Saint Gemain, Bach e outros) através da Radiestesia. Apenas faço a indicação das essências. 
* Reiki (presencial e à distância).
* Ativação da Consciência Crística.
* Meditação (orientação)

2) Produtos:
* Japamala (colar de contas para meditar). Também ensino a técnica de utilização.";1095;28;55;"Mestre de Reiki, com experiencia de mais de 20 anos.
Professora de Yoga da UFSC, com formação em diversas linhas. (Hatha; Iyengar).
Iniciada em ACC.
Artista Plástica autodidata.
Terapeita Floral a mais de 15 anos.
Formada/Iniciada em diversas técnicas meditativas, tais como: Kriya Yoga; Vipassana; Mindfullness."
86;Gostaria de oferecer cursos de Reiki ao grupo.;205;28;38;"Sou professora de Reiki faz 7 anos. 
Passar esse conhecimento é algo que acredito que traz amor ao mundo e traz mais união entre os seres."
87;"-Cozinho em sua casa um cardápio vegano e natural,  personalizado de acordo com suas preferências, restrições  e ocasião  (pode ser um jantar, petiscos para festas etc). Os ingredientes ficam por sua conta. 
 -Ofereço noções básicas de germinação/brotos de sementes e ensino receitas de alguns patês vivos veganos.";180;2;39;Trabalho com alimentacao vegana e natural de forma autonoma ha alguns anos. Conhecimento empírico, leituras e oficinas.Prática pessoal com muito amor.
88;Ensino a coletar/ preparar algumas plantas nao convencionais (Pancs), para fins de conserva ou uso imediato: Broto de bambu, Taioba, jaca verde, flor do coração de bananeira, cascas de banana, e várias ervas.Regiões :Costa da lagoa, Lagoa, Rio Tavares e Campeche;180;1;39;Investigo e pratico o uso de diversas plantas nos alimentos que preparo para fins comerciais e pessoais. Sempre tentando atualizar informacoes atraves de pesquisas e troca de saberes.
89;Mestra em Reiki pelo sistema Usui;615;28;26;Projeto Social da ASAC e cursos de reiki
90;Aulas particulares de Física e Matemática;615;8;26;Professora da rede estadual
91;"Massoterapia

Dread, manutençao, filtro dos sonhos";2554;28;7;"Técnica de massoterapia, autonoma.  Atuo na minha residencia. 

Sou dreadmaker e agora produzo filtros dos sonhos."
92;Consultoria em paisagismo, recuperação de áreas degradadas e sistemas agroflorestais.;2313;39;6;Sou agrônoma e PhD em agroecologia.
93;Designer Gráfico;3906;38;30;Recém Formada
94;Depiladora;3167;25;28;Avançado. Faço Depilação com cera de mel método espanhol e também egípcio (linha)
95;Designer de sobrancelhas;3167;25;28;Avançado. Ofereço apenas o designer sem henna, de acordo com o formato do seu rosto😊
96;Animadora de festa infantil.;817;10;55;Iniciante nessa área, tenho experiência de uma festa de um bebê de 1 ano. Além disso, tenho experiência de ter proposto atividades lúdicas no ensino infantil, em uma disciplina da Graduação em Artes Visuais - Licenciatura.
97;"Sou professora de Português e Espanhol. Ofereço uma hora/aula por uma hora no BTF.
Faço traduções também no par de idiomas espanhol-português, horas a combinar de acordo com o texto.";2957;9;56;Tenho experiência com aulas de espanhol e português para Ensino Médio, Técnico e Superior. Posso dar aulas em grupo ou individual. Faço traduções também no par de idiomas espanhol-português.
98;Instrutora de Yoga;3857;24;22;"Formada em Tantra Yoga por Instituto Ánandan, de Porto Alegre/Rs em 2011/12.
Resido em Floripa, no Rio Vermelho há 2,5 anos.
Dou aulas regulares de yoga na associação de moradores do bairro há 2 anos.
Tb já dei aulas em outros locais aqui no rio vermelho."
99;Mudas de plantas ornamentais para jardim, mudas de flores e hortaliças.;2143;7;11;Vivi muitos anos em sítios e fazenda sendo agricultura de varias espécie de plantas .
101;Terapeuta R'xa - Reiki Xamânico Ancestral;3357;28;34;Reiki Xamânico Ancestral canaliza a energia de Shiva. Utilizo a medicina das ervas, cristais, sons e dos 4 elementos  (terra, fogo, ar e agua).
102;Psicóloga Clinica;3357;29;34;"Sou Psicologa crp 12/16615
com enfase em questões de gêneros e sexualidades . Tambem sou adepta e apaixonada pelo uso da arte como ferramenta terapêutica, ficando a escolha dx cliente."
103;Aromaterapia.;2183;28;18;Sou aromaterapeuta e atendo pessoas para auxiliar nos seus processos, doenças  e demais aplicações da aromaterapia.
104;"Aulas de Yoga
Aulas de dança contemporânea
Massagem Terapêutica
Pastinhas Veganas";1872;30;6;"Aline Blasius trabalha há 10 anos como bailarina profissional do Grupo Cena 11 cia de dança e foi integrante da seleção brasileira de ginástica rítmica. Atualmente faz curso introdutório para formação em iyengar yoga. Já articulou aulas de ginástica para crianças, dança contemporânea para adultos, e atualmente compartilha práticas de yoga no Jurerê Sports Center. 
As aulas de Yoga tem como intuito o fortalecimento e alongamento corporal associado à práticas de respiração e controle físico-mental, com foco em ações terapêuticas e restaurativas visando o melhor desempenho no mover-se físico-comportamental cotidiano.

É formada pelo curso de Massagem Terapêutica do método Sistema Haux, que agrega noções de Bioenergética, Yoga Massagem Ayurvédica e técnicas relaxantes."
105;Aulas de Hatha Yoga e/ou Meditação;3538;30;50;Desde 2008
106;Reiki;3538;30;50;Desde 2017
107;"Professor de Inglês
Sou licenciado de uma metodologia japonesa chamada “não-linear” que utiliza técnicas de neurociência e psicologia e PNL com foco em conversação.
Ofereço pelo BT uma vaga em cada uma das minhas turmas regulares de adultos. Trabalho com lista de espera e sempre que uma nova turma abre eu faço sorteio entre as pessoas que estão na lista. 
Ofereço também pelo BT serviços de tradução e intérprete (de acordo com disponibilidade).";3580;9;55;Sou professor de uma rede metodológica de inglês chamado Excellent Global desde 2008 e em 2017 adquiri a Licença de exclusividade de atuação para região metropolitana de Florianopolis.
108;Com a arte do crochê gosto de tecer peças como mandalas, gorros, cachecóis, almofadas, algumas peças de roupas, amigurumis, toalhas, rendas, etc. Também sou professora de crochê e tenho ensinado essa arte para muitas pessoas de diferentes idades e gênero em cursos e oficinas.;37;21;28;Aprendi a fazer crochê com 7 anos de idade. Depois, na adolescência, frequentei cursos de crochê na Escola Profissional Feminina em Tubarão. Desde então, faço crochê como uma terapia pois amo essa arte. Gosto de fazer mandalas, gorros, cachecóis, algumas peças de roupas, almofadas e amigurumis. Também sou professora de crochê e já ensinei essa arte para muitas pessoas de diferentes idades e gênero.
109;"Ofereço consultoria. 
Se você tem uma pequena ou média empresa ou está pensando em empreender, ofereço pelo BT consultoria em plano de negócios para apoiar você a estruturar em sua empresa nas áreas: marketing, comercial, comunicação, construção de marca, pesquisa de mercado, logística e áreas correlacionadas. A consulta pode ser pessoalmente ou por Skype.";3580;39;55;Formado em comunicação social com habilitação em publicidade e propaganda com mais de 10 anos de experiência em multinacionais nas áreas de marketing, comercial etc.
110;"Life Coach e Consultor de Projeto de Vida. 
Ofereço consultoria para você criar o seu projeto de vida com base no método 4A12P. Um projeto de vida serve para fazer uma avaliação atual da sua vida em todas as áreas e estabelecer metas de pequeno, médio e longo prazo, orientando as atividades do seu dia a dia para um objetivo em comum. 
Essa ferramenta é indicada para pessoas que querem fazer alguma mudança em qualquer área da vida seja profissional, pessoal, física, emocional etc.";3580;40;55;Coach formado pela escola Condor Blanco Internacional em 2010 e especialista na aplicação da ferramenta Projeto de Vida pelo método 4A12P.
111;Um dos meus talentos é cozinhar. Gosto de cozinhar comidas vegetarianas e veganas, alguns pratos árabes e comidas caseiras do dia-a-dia. Também faço doces crudiveganos saborosos.;37;2;28;Gosto de cozinhar desde quando era criança. Fiz cursos de artes culinárias e participei de oficinas específicas de culinária vegetariana e vegana. Também participei de oficinas de doces crudiveganos e outros doces veganos.
112;"Ofereço Consultoria em Marketing para Projetos Sociais.
Como profissional de marketing tive a chance de trabalhar no departamento de Responsabolidade Social de uma empresa multinacional gigante e pude aprender tudo que uma empresa espera de um projeto para considerá-lo adequado para investir. Se seu projeto está em fase de captação de recursos essa consultoria pode apoiar nesse processo.";3580;39;55;"Trabalhei na área de Responsabilidade Social da Monsanto e eu era responsável por avaliar todos os projetos sociais que solicitavam investimentos através de lei de incentivo. Eu tinha que avaliar o projeto de acordo com os critérios da empresa, e durante esse tempo fiz varios cursos em varios institutos e pude aprender muito sobre o que as grandes empresas buscam em projetos sociais para patrocina-los. 
Combino esse fato com a minha formação em comunicação e experiência em marketing para oferecer essa consultoria."
113;"Sou mestre Reiki pelo Sistema Usui de Cura Natural (Satya Reiki Communio)
Sou reikiana iniciada e com nível II em R'XA - Reiki Xamânico Ancestral (R'XA Healing Center)";37;30;28;Sou reikiana há 20 anos e desde minha iniciação tenho levado esse sistema de cura para a minha jornada por essa vida. Participo desde o primeiro dia do Projeto Reikianos (BTF) que acontece na Associação Amigos do Campeche.
114;Produção de vídeos institucionais, webséries, teaser, cobertura de eventos etc. Produções em animação 2D (motion graphics) de baixa complexidade.;3209;18;51;Iniciei na produção audiovisual em 2010, como atividade paralela. Desde 2016 trabalho exclusivamente com vídeo e fotografia. Já atendi clientes como Arteris, NSC, OAB/SC, Colégio Jardim Anchieta, Vie Vin, UDESC e outros.
115;Produção fotográfica de ensaios, retratos, cobertura de eventos etc.;3209;17;51;Iniciei com fotografia em 2011 como hobby. Aos poucos foram surgindo trabalhos e desde 2016 atuo exclusivamente com fotografia e vídeo.
116;Produção de textos como releases, notas, roteiros etc. Sou jornalista e tenho experiência de 10 anos em assessoria de imprensa e jornal diário. Trabalhei nos jornais A Notícia, Notícias do Dia, Revista das Cooperativas e All Press Comunicação, onde atendi clientes como OAB/SC e Estácio.;3209;38;55;Sou jornalista e tenho experiência de 10 anos em assessoria de imprensa e jornal diário. Trabalhei nos jornais A Notícia, Notícias do Dia, Revista das Cooperativas e All Press Comunicação, onde atendi clientes como OAB/SC e Estácio.
